0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.5086755,0.49096203,-0.50196594,0.49288446,0.40349802,0.45495158,0.2673974,-0.12591557,-0.07754694,-0.6556795,-0.24281496,0.702782,0.35006794,-0.037118714,-0.7316873,0.5102237
0.47421145,0.3173576,0.66328496,-0.6512586,0.5983151,0.6701318,0.3492914,0.31409246,0.17546052,0.09181668,-0.78248984,0.07505228,0.6137708,-0.24551211,0.045420736,-0.4839564
0.27843645,0.52896756,0.47629595,-0.39707845,0.46315917,0.67972124,0.4464798,0.68815637,0.110108346,0.3475823,-0.510494,0.43019906,0.65895474,-0.57932144,0.39086604,-0.1938045
0.38764638,-0.8081094,0.41906428,-0.12186471,0.50333536,0.37917626,0.10066442,-0.1749722,-0.46500307,0.3608915,-0.5010406,-0.28168744,0.117018916,0.48330823,0.1904181,-0.071974486
-0.5472158,-0.4679114,-0.40823695,-0.023152202,0.5858264,0.2340829,-0.42126417,0.14304495,-0.35574245,0.47801667,0.68870115,0.47315574,0.5963245,0.60336304,-0.47927117,-0.31697148
0.23271447,-0.47547984,0.08026719,-0.21931084,-0.34374484,0.30998075,-0.18899015,0.23209213,-0.6604409,0.5848711,-0.8459033,0.53012323,-0.63097703,0.37224844,0.62590724,0.36571422
-0.42998797,0.5021116,-0.08499359,0.086355306,-0.20769164,-0.37859842,-0.5095101,0.43488663,0.54646856,-0.4138889,-0.40626952,-0.45809948,-0.27776247,0.46802774,-0.024368316,-0.59921426
0.11710026,-0.37742907,-0.2912945,-0.022329133,0.5539588,0.2775736,-0.33802295,-0.5385054,0.40449184,-0.4461083,-0.08230871,-0.5353559,0.49365795,0.4104684,0.04238071,-0.5543047
-0.37267143,0.4830794,-0.04953681,-0.32472965,0.27848893,0.54954886,-0.21687232,-0.40740678,-0.020348988,0.6772543,-0.37537038,-0.4644335,0.5257662,0.4929541,-0.56280947,0.5167055
-0.6098968,0.11390403,-0.52969897,-0.20220971,0.5197799,0.09510717,-0.1259187,-0.31598315,0.71668357,0.46155453,-0.11948557,-0.36750048,0.26715013,0.5439676,-0.5305068,-0.31369954
-0.32737204,0.16046806,0.44614634,-0.49300104,-0.0926725,-0.27931315,0.38229287,0.8408141,-0.69156766,0.7191726,-0.27010965,-0.18469578,-0.08248639,-0.4293327,0.24633105,0.19287497
0.2620858,0.5255662,-0.034019545,-0.38252032,-0.37466738,0.29458088,-0.3440839,-0.5714861,0.33761522,-0.45063564,-0.51302785,0.4284443,-0.45733428,0.4853394,0.23756605,-0.4284702
-0.4384036,0.44611377,0.58039606,-0.37545955,-0.52169675,0.39680454,-0.39791942,0.50241625,-0.6250138,0.7155311,-0.70485413,0.67577636,0.38242766,0.29542693,0.23952553,-0.57065254
0.3844234,0.38041294,0.22922626,-0.03144958,0.27775973,-0.30606458,0.33886573,-0.25234997,0.28954506,0.28549242,-0.29601276,0.33260468,0.32701933,-0.27227497,0.15592527,0.019206375
0.6732497,0.49037436,-0.19233333,-0.23076631,0.52621,-0.3308294,0.54100657,-0.3975144,-0.16523789,0.39387858,0.67843795,0.5535176,0.3955089,0.34605312,0.5708065,0.57763326
-0.2809989,-0.34848842,-0.3596553,-0.45083028,0.37300003,0.4828132,0.50217617,-0.42783797,0.28535756,0.34931475,-0.29259515,-0.6079037,-0.1521455,0.5692795,0.3113045,0.25300032
-0.5985184,-0.5641639,-0.5887099,-0.48210236,-0.12678726,-0.5073744,0.016462788,-0.4895936,0.24887753,0.65096456,0.5652534,0.5158682,-0.0414145,-0.4952727,0.43467137,0.3572081
